Date,Open_samsung,High_samsung,Low_samsung,Close_samsung,Volume_samsung,Change_samsung,Open_lg,High_lg,Low_lg,Close_lg,Volume_lg,Change_lg
2015-06-15,25100,25480,25100,25400,161356,-0.005481597494126911,51600,52200,51000,51700,529316,-0.003853564547206201
2015-06-16,25400,25480,24900,25100,255352,-0.011811023622047223,51300,51700,50100,50300,1099037,-0.027079303675048405
2015-06-17,25000,25320,24800,25080,189046,-0.0007968127490040056,50400,51300,50300,50700,635948,0.007952286282306265
2015-06-18,25180,25580,25020,25300,164952,0.00877192982456143,50700,50900,50400,50500,613404,-0.0039447731755424265
2015-06-19,25320,25560,25200,25320,141895,0.0007905138339920903,50500,51200,50300,50700,714475,0.003960396039603964
2015-06-22,25820,25920,25520,25620,127418,0.011848341232227444,50700,51800,50500,51600,544679,0.01775147928994092
2015-06-23,26180,26559,25820,26420,203180,0.031225604996096834,52000,52100,50400,50800,967272,-0.015503875968992276
2015-06-24,26000,26220,25820,26040,203960,-0.014383043149129415,50900,51200,50500,50800,454928,0.0
2015-06-25,25800,26060,25380,25380,213916,-0.025345622119815614,50800,50800,49850,49900,1113123,-0.017716535433070835
2015-06-26,25040,25800,25040,25560,206950,0.007092198581560183,49800,50200,49400,49550,894428,-0.007014028056112176
2015-06-29,25380,25700,25120,25620,230399,0.0023474178403755097,48950,49000,46700,47150,1643696,-0.048435923309788076
2015-06-30,25520,25700,25320,25360,197407,-0.010148321623731471,46550,47700,46400,47200,1115440,0.0010604453870626251
2015-07-01,25360,26040,25180,25900,166498,0.021293375394321856,47200,48150,46900,47800,680372,0.012711864406779627
2015-07-02,25720,26080,25700,25980,164460,0.003088803088802994,48200,48600,47900,48100,722630,0.006276150627614996
2015-07-03,25740,25880,25340,25360,142604,-0.0238645111624326,48250,48450,47400,47650,521621,-0.009355509355509328
2015-07-06,25060,25200,24460,24600,201999,-0.029968454258675115,46750,46850,46000,46050,899759,-0.03357817418677855
2015-07-07,24400,25180,24400,24800,249565,0.008130081300812941,46350,46550,45700,46550,888051,0.010857763300760048
2015-07-08,24800,25020,24640,24780,235619,-0.0008064516129032695,46600,46650,46150,46200,470393,-0.007518796992481258
2015-07-09,24600,25300,24520,25300,280610,0.02098466505246166,46000,46350,45450,45750,748847,-0.009740259740259716
2015-07-10,25140,25320,24960,25180,191468,-0.004743083003952542,45750,45750,44600,44750,857957,-0.021857923497267784
2015-07-13,25000,25440,24900,25320,153441,0.005559968228753043,44900,45100,44600,44900,541447,0.003351955307262511
2015-07-14,25300,25400,24420,24500,399794,-0.03238546603475512,45300,45300,43600,43600,1052617,-0.028953229398663738
2015-07-15,24500,24760,24480,24700,167413,0.008163265306122547,43500,44250,43450,44250,764452,0.014908256880733939
2015-07-16,24460,25740,24460,25640,223469,0.0380566801619433,44100,44900,43900,44050,565343,-0.004519774011299438
